;date;open;high;low;close;volume;isEmaUptrend;isEmaDowntrend;isSmaUptrend;isSmaDowntrend;prediction;signal;barsHeld;isEarlySignalFlip;isLastSignalBuy;isLastSignalSell;isNewBuySignal;isNewSellSignal;startLongTrade;startShortTrade;endLongTrade;endShortTrade;RSI;CCI;ADX
40;2024-03-22;2405.34;2415.75;2374.23;2377.69;16101913.0;1;1;1;1;6;1;204;0;1;0;0;0;;;0;0;50.91657565682654;-1.8188008202495507;19.37993296310962
41;2024-03-21;2369.05;2409.74;2369.05;2409.74;20376550.0;1;1;1;1;0;1;203;0;1;0;0;0;;;0;0;56.06682747850961;2.9992466815271386;20.32179472708789
42;2024-03-20;2342.47;2350.76;2314.6;2341.35;15804240.0;1;1;1;1;-8;1;202;0;1;0;0;0;;;0;0;45.05443102301202;-99.65507379150132;21.389350173760985
43;2024-03-19;2352.6;2359.36;2297.85;2335.74;19423586.0;1;1;1;1;-8;1;201;0;1;0;0;0;;;0;0;43.98493370314455;-122.11428428914338;21.68282562437926
44;2024-03-18;2352.61;2375.89;2330.69;2350.87;17958198.0;1;1;1;1;2;1;200;0;1;0;0;0;;;0;0;46.23889173456405;-103.00591319437808;21.991747151345862
45;2024-03-15;2411.5;2422.1;2310.02;2350.97;72844908.0;1;1;1;1;4;1;199;0;1;0;0;0;;;0;0;46.25343836128968;-94.48380378208552;22.70057979192156
46;2024-03-14;2410.55;2426.94;2398.55;2412.33;25018417.0;1;1;1;1;4;1;198;0;1;0;0;0;;;0;0;56.354985319381804;11.61674044321991;23.44671941358019
47;2024-03-13;2423.09;2435.83;2398.1;2408.31;20086275.0;1;1;1;1;6;1;197;0;1;0;0;0;;;0;0;55.76730206935731;19.662048139265696;23.844476676039694
48;2024-03-12;2374.4;2428.05;2364.45;2425.09;22585522.0;1;1;1;1;8;1;196;0;1;0;0;0;;;0;0;58.83807978057576;10.815746647965776;24.263168531260224
49;2024-03-11;2348.14;2370.39;2340.36;2370.39;13265697.0;1;1;1;1;-8;1;195;0;1;0;0;0;;;0;0;50.60499778140838;-54.19171408542836;24.799625763746207
50;2024-03-08;2337.02;2353.91;2308.05;2351.65;20401587.0;1;1;1;1;-8;1;194;0;1;0;0;0;;;0;0;47.24839401859562;-84.8544971031177;26.033176328113235
51;2024-03-07;2361.05;2361.05;2318.18;2336.23;16997867.0;1;1;1;1;-8;1;193;0;1;0;0;0;;;0;0;44.35945379130717;-79.81424789624016;27.05816250140136
52;2024-03-06;2369.06;2382.38;2359.61;2371.37;14489024.0;1;1;1;1;-8;1;192;0;1;0;0;0;;;0;0;50.17397682582235;-30.517386871923865;28.28886256008574
53;2024-03-05;2390.39;2390.39;2363.32;2367.74;19233303.0;1;1;1;1;-8;1;191;0;1;0;0;0;;;0;0;49.53952385676954;-23.752000028381374;29.280487000383943
54;2024-03-04;2433.2;2444.21;2394.05;2398.38;17997591.0;1;1;1;1;6;1;190;0;1;0;0;0;;;0;0;55.0318282980125;32.0390960853775;30.256757952678925
55;2024-03-01;2430.39;2441.0;2404.79;2424.7;18030139.0;1;1;1;1;8;1;189;0;1;0;0;0;;;0;0;60.3705913319087;51.36967342517212;30.69202497897306
56;2024-02-29;2413.96;2446.47;2412.88;2418.1;55290322.0;1;1;1;1;2;1;188;0;1;0;0;0;;;0;0;59.45470725001717;60.462813598429655;30.925956077701056
57;2024-02-28;2458.24;2458.24;2408.94;2412.0;18781940.0;1;1;1;1;4;1;187;0;1;0;0;0;;;0;0;58.63423249717139;69.03961186053098;31.001868827109824
58;2024-02-27;2465.94;2489.6;2450.18;2457.83;18036437.0;1;1;1;1;4;1;186;0;1;0;0;0;;;0;0;68.27267961165705;130.7327105170813;31.081776984382213
59;2024-02-26;2477.45;2483.49;2462.85;2464.05;13754739.0;1;1;1;1;4;1;185;0;1;0;0;0;;;0;0;69.71695523044112;157.016753246975;30.254716243836004
60;2024-02-23;2453.29;2494.74;2451.11;2476.82;19900731.0;1;1;1;1;4;1;184;0;1;0;0;0;;;0;0;72.6467355969596;192.1851710357959;29.070386325261353
61;2024-02-22;2432.3;2455.05;2432.3;2447.32;21722463.0;1;1;1;1;4;1;183;0;1;0;0;0;;;0;0;69.93666747017063;167.72504868025894;27.82372325307751
62;2024-02-21;2426.86;2443.12;2410.03;2411.43;16256065.0;1;1;1;1;4;1;182;0;1;0;0;0;;;0;0;66.14764981646492;142.65713422395774;26.83392853650824
63;2024-02-20;2387.08;2428.85;2380.27;2423.18;18284494.0;1;1;1;1;4;1;181;0;1;0;0;0;;;0;0;68.78307581263557;135.55953246171345;25.900068008571072
64;2024-02-19;2365.54;2394.8;2365.54;2387.94;9809872.0;1;1;1;1;4;1;180;0;1;0;0;0;;;0;0;64.88709793770218;107.83749899595163;25.050360568773236
65;2024-02-16;2346.91;2390.06;2346.91;2371.05;13966277.0;1;1;1;1;4;1;179;0;1;0;0;0;;;0;0;62.82209662021538;98.93211086968019;24.508432059958636
66;2024-02-15;2353.78;2362.07;2330.0;2345.75;17725942.0;1;1;1;1;4;1;178;0;1;0;0;0;;;0;0;59.509961997195646;79.40817905960402;23.990792312623235
67;2024-02-14;2300.62;2347.65;2298.55;2347.65;14410447.0;1;1;1;1;4;1;177;0;1;0;0;0;;;0;0;59.88198316987445;69.92591907371872;23.77545997230758
68;2024-02-13;2342.42;2349.62;2289.79;2300.09;24884186.0;1;1;1;1;6;1;176;0;1;0;0;0;;;0;0;53.061580639598226;56.8061711276145;23.73411691301573
69;2024-02-12;2313.8;2355.07;2303.44;2345.13;16267950.0;1;1;1;1;8;1;175;0;1;0;0;0;;;0;0;62.388720325113624;87.38835064960286;23.690597903234835
70;2024-02-09;2317.87;2326.25;2304.28;2309.39;10792888.0;1;1;1;1;4;1;174;0;1;0;0;0;;;0;0;56.792439084067766;73.61952338108495;23.3586052130159
71;2024-02-08;2348.8;2355.29;2312.48;2318.89;11840601.0;1;1;1;1;6;1;173;0;1;0;0;0;;;0;0;58.95767977202918;102.77851985784739;23.362688425926713
72;2024-02-07;2336.86;2351.35;2329.47;2347.31;12303686.0;1;1;1;1;8;1;172;0;1;0;0;0;;;0;0;65.94144989198551;136.20383598385231;23.194205756312083
73;2024-02-06;2333.11;2356.8;2326.38;2332.22;15881996.0;1;1;1;1;2;1;171;0;1;0;0;0;;;0;0;63.82897864474549;146.68636103695093;22.648392563180547
74;2024-02-05;2351.28;2378.61;2323.58;2329.72;21181524.0;1;1;1;1;4;1;170;0;1;0;0;0;;;0;0;63.48051669648138;172.37732831478945;22.073852359884192
75;2024-02-02;2314.21;2366.31;2314.21;2350.44;22403766.0;1;1;1;1;4;1;169;0;1;0;0;0;;;0;0;68.56392910411131;201.27175780858255;21.469073198519606
76;2024-02-01;2271.04;2322.65;2255.25;2306.07;23508144.0;1;1;1;1;6;1;168;0;1;0;0;0;;;0;0;62.61029852073043;135.9577142972608;20.956782936516387
77;2024-01-31;2235.89;2282.25;2233.6;2279.86;18811692.0;1;1;1;1;6;1;167;0;1;0;0;0;;;0;0;58.27584797654225;75.93576336685635;20.910793246453643
78;2024-01-30;2216.22;2238.85;2212.89;2235.83;15139945.0;1;1;1;1;8;1;166;0;1;0;0;0;;;0;0;49.0651105130789;-6.618385871693835;21.422088445188557
79;2024-01-29;2218.5;2224.08;2207.42;2213.17;11338365.0;1;1;1;1;4;1;165;0;1;0;0;0;;;0;0;43.05799201340116;-40.46444411222462;22.38530823755222
80;2024-01-26;2200.87;2226.41;2191.67;2223.47;13770396.0;1;1;1;1;6;1;164;0;1;0;0;0;;;0;0;45.31364596659351;-48.7162146276162;23.100768487893667
81;2024-01-25;2213.69;2215.43;2195.21;2206.18;14153527.0;1;1;1;1;-4;1;163;0;1;0;0;0;;;0;0;40.45107793259788;-68.35639487787228;23.85388454088466
82;2024-01-24;2196.95;2225.62;2195.66;2213.36;16675294.0;1;1;1;1;-6;1;162;0;1;0;0;0;;;0;0;41.88727349687761;-67.69207240210496;24.427295803556994
83;2024-01-23;2210.65;2215.66;2175.62;2196.27;14666559.0;1;1;1;1;-8;1;161;0;1;0;0;0;;;0;0;36.938708511309656;-96.42774715890815;25.037729393756422
84;2024-01-22;2212.23;2223.04;2195.82;2205.03;16121392.0;1;1;1;1;-8;1;160;0;1;0;0;0;;;0;0;38.4991089511667;-89.36383897862099;25.48773384152604
85;2024-01-19;2198.47;2213.74;2191.88;2200.91;18791983.0;1;1;1;1;-8;1;159;0;1;0;0;0;;;0;0;37.34318002219258;-106.71213758251992;26.254324838843168
86;2024-01-18;2170.27;2194.2;2170.27;2191.26;17989566.0;1;1;1;1;-8;1;158;0;1;0;0;0;;;0;0;34.672696702618396;-139.72053441286585;26.885998723360238
87;2024-01-17;2201.05;2201.05;2161.56;2167.71;20596729.0;1;1;1;1;-8;1;157;0;1;0;0;0;;;0;0;27.68865409896954;-169.2747852370934;27.16761707975972
88;2024-01-16;2208.87;2215.07;2187.87;2208.54;12186484.0;1;1;1;1;-8;1;156;0;1;0;0;0;;;0;0;33.445004025375994;-155.1361550162895;27.46405745491707
89;2024-01-15;2249.09;2259.9;2206.6;2216.01;11952680.0;1;1;1;1;-8;1;155;0;1;0;0;0;;;0;0;34.6694768985392;-143.19495475248286;28.122842528240074
90;2024-01-12;2248.84;2270.94;2239.41;2248.58;17900481.0;1;1;1;1;-8;1;154;0;1;0;0;0;;;0;0;40.70276887102285;-116.19896289236245;29.085795621516052
91;2024-01-11;2279.93;2287.65;2242.88;2246.21;19924196.0;1;1;1;1;-8;1;153;0;1;0;0;0;;;0;0;39.99722455535626;-118.79505517251218;30.605403573584397
92;2024-01-10;2286.76;2299.77;2264.61;2270.82;15802065.0;1;1;1;1;-4;1;152;0;1;0;0;0;;;0;0;45.18070508013683;-90.4298731226912;32.14532047858724
93;2024-01-09;2290.55;2294.56;2267.41;2288.2;15720437.0;1;1;1;1;-8;1;151;0;1;0;0;0;;;0;0;49.37703998596665;-85.28605860944457;33.38137623830524
94;2024-01-08;2268.49;2283.34;2237.93;2279.86;15212783.0;1;1;1;1;-8;1;150;0;1;0;0;0;;;0;0;47.19153250717112;-126.42548669327797;34.76282288953233
95;2024-01-05;2269.54;2281.04;2230.94;2274.59;15961824.0;1;1;1;1;-8;1;149;0;1;0;0;0;;;0;0;45.81903560252318;-155.4089759246803;36.38999489728157
96;2024-01-04;2295.14;2295.14;2263.57;2282.23;18611762.0;1;1;1;1;-8;1;148;0;1;0;0;0;;;0;0;47.48022296671549;-119.07656746984779;38.13793613140335
97;2024-01-03;2300.34;2305.71;2264.17;2295.12;20767399.0;1;1;1;1;-8;1;147;0;1;0;0;0;;;0;0;50.33950148098155;-97.99061160984051;39.417396217556814
98;2024-01-02;2344.1;2350.52;2288.3;2303.41;13920658.0;1;1;1;1;-8;1;146;0;1;0;0;0;;;0;0;52.21741688814935;-20.213081220953544;40.75337553823075
99;2023-12-29;2356.84;2367.01;2334.3;2342.99;10917243.0;1;1;1;1;2;1;145;0;1;0;0;0;;;0;0;62.56489198296546;72.3063511113756;41.71480785607249
100;2023-12-28;2374.38;2380.55;2356.32;2356.32;11537636.0;1;1;1;1;4;1;144;0;1;0;0;0;;;0;0;66.69825098452849;113.22490374084519;41.7272951276709
101;2023-12-27;2348.85;2378.32;2348.85;2371.28;13649734.0;1;1;1;1;4;1;143;0;1;0;0;0;;;0;0;71.62979480028953;125.43399571544724;41.17557791256011
102;2023-12-22;2345.16;2353.47;2338.03;2346.7;9204610.0;1;1;1;1;4;1;142;0;1;0;0;0;;;0;0;68.02252879874443;94.16711845348456;40.61331498469342
103;2023-12-21;2333.32;2355.14;2329.78;2348.67;16619821.0;1;1;1;1;4;1;141;0;1;0;0;0;;;0;0;68.67235511863231;96.71606817123238;40.23530469845955
104;2023-12-20;2358.26;2380.4;2341.42;2346.52;15633376.0;1;1;1;1;4;1;140;0;1;0;0;0;;;0;0;68.36609896313624;123.8381609593239;39.837399134002844
105;2023-12-19;2334.62;2372.3;2329.22;2354.57;18940374.0;1;1;1;1;4;1;139;0;1;0;0;0;;;0;0;70.7715041457687;127.19898781565811;39.130748864357486
106;2023-12-18;2317.97;2340.17;2314.36;2334.5;17243198.0;1;1;1;1;4;1;138;0;1;0;0;0;;;0;0;68.17959382696176;101.50247765316558;38.448579757106344
107;2023-12-15;2318.2;2365.67;2311.98;2320.45;67697404.0;1;1;1;1;6;1;137;0;1;0;0;0;;;0;0;66.23311934043457;119.37215094694332;37.993596528087814
108;2023-12-14;2309.38;2326.76;2307.22;2312.56;22272034.0;1;1;1;1;8;1;136;0;1;0;0;0;;;0;0;65.12054594439049;101.34847160037157;37.51466681333146
109;2023-12-13;2289.56;2309.76;2284.6;2298.31;18141339.0;1;1;1;1;4;1;135;0;1;0;0;0;;;0;0;63.080466348214316;77.80717454547668;37.36894707895956
110;2023-12-12;2318.29;2328.45;2284.99;2293.66;22496206.0;1;1;1;1;6;1;134;0;1;0;0;0;;;0;0;62.41434560973421;97.76665138648585;37.39294783386238
111;2023-12-11;2308.2;2325.47;2302.42;2313.32;13564924.0;1;1;1;1;8;1;133;0;1;0;0;0;;;0;0;67.17244821030985;137.19501840156158;37.40933712454829
112;2023-12-08;2290.85;2316.02;2290.85;2306.05;14582525.0;1;1;1;1;2;1;132;0;1;0;0;0;;;0;0;66.29003104487931;136.750677196261;37.028511904124365
113;2023-12-07;2302.98;2303.44;2270.2;2288.84;13681706.0;1;1;1;1;4;1;131;0;1;0;0;0;;;0;0;64.1731013040325;118.50665069724724;36.712859746184776
114;2023-12-06;2302.28;2329.05;2297.34;2309.81;20036714.0;1;1;1;1;4;1;130;0;1;0;0;0;;;0;0;69.0815352290437;186.26649685290846;36.49577678099057
115;2023-12-05;2274.56;2316.04;2273.02;2298.78;19136348.0;1;1;1;1;4;1;129;0;1;0;0;0;;;0;0;67.88166194222698;166.98279875944658;35.63384985421043
116;2023-12-04;2281.69;2299.96;2273.8;2281.04;12961160.0;1;1;1;1;6;1;128;0;1;0;0;0;;;0;0;65.90563196911387;154.01391547281753;34.82699156703537
117;2023-12-01;2215.16;2287.62;2215.16;2285.98;20060199.0;1;1;1;1;8;1;127;0;1;0;0;0;;;0;0;66.97104047380466;120.84661746891764;34.10649278560574
118;2023-11-30;2221.96;2234.12;2215.25;2215.25;40654424.0;1;1;1;1;4;1;126;0;1;0;0;0;;;0;0;57.928945778838695;38.5380041722616;33.450404488827964
119;2023-11-29;2227.16;2234.47;2204.57;2222.44;31058211.0;1;1;1;1;2;1;125;0;1;0;0;0;;;0;0;59.46561583248714;40.39802723123988;33.27774289755165
120;2023-11-28;2203.89;2242.91;2203.89;2239.69;18902719.0;1;1;1;1;4;1;124;0;1;0;0;0;;;0;0;63.20053569521622;61.45915855341734;33.09599385410289
121;2023-11-27;2226.59;2231.31;2196.75;2208.05;15823961.0;1;1;1;1;4;1;123;0;1;0;0;0;;;0;0;58.79239516425684;36.48000049337663;32.90467907152526
122;2023-11-24;2224.79;2237.38;2218.07;2228.01;16787565.0;1;1;1;1;4;1;122;0;1;0;0;0;;;0;0;63.22920741464802;69.88703124438207;32.82136098233185
123;2023-11-23;2243.16;2250.0;2223.46;2225.6;11940406.0;1;1;1;1;4;1;121;0;1;0;0;0;;;0;0;62.915434891103914;86.12362245760792;32.2665437459309
124;2023-11-22;2237.93;2245.89;2226.39;2241.16;15162106.0;1;1;1;1;4;1;120;0;1;0;0;0;;;0;0;66.30765031663033;104.4832843261898;31.561007583576092
125;2023-11-21;2248.76;2264.79;2226.06;2240.99;16593956.0;1;1;1;1;2;1;119;0;1;0;0;0;;;0;0;66.28921078918286;124.67805766693945;30.85209020049631
126;2023-11-20;2228.8;2269.24;2226.91;2250.55;22235730.0;1;1;1;1;4;1;118;0;1;0;0;0;;;0;0;68.23940566441303;143.243331303213;30.1058613762018
127;2023-11-17;2215.3;2230.19;2204.7;2228.28;18257191.0;1;1;1;1;4;1;117;0;1;0;0;0;;;0;0;66.08087913274176;112.92637343642505;29.3035027535055
128;2023-11-16;2215.59;2239.37;2208.37;2217.16;31370144.0;1;1;1;1;4;1;116;0;1;0;0;0;;;0;0;64.97726116409326;120.71251880753819;28.765660611517937
129;2023-11-15;2241.03;2264.9;2213.47;2218.61;27299827.0;1;1;1;1;6;1;115;0;1;0;0;0;;;0;0;65.23425839062597;150.9000970619488;28.12891794864447
130;2023-11-14;2137.55;2241.24;2137.55;2236.12;26528502.0;1;1;1;1;8;1;114;0;1;0;0;0;;;0;0;68.26171327322955;132.1173910022631;27.363362800559315
131;2023-11-13;2147.13;2164.92;2130.91;2132.7;18679333.0;1;1;1;1;0;1;113;0;1;0;0;0;;;0;0;57.42524340020152;44.364352241637214;26.738706250191843
132;2023-11-10;2165.75;2169.03;2135.65;2141.09;14654587.0;1;1;1;1;2;1;112;0;1;0;0;0;;;0;0;58.94123331329815;58.91902434547198;26.802509253725788
133;2023-11-09;2153.64;2172.27;2130.08;2170.91;19075784.0;1;1;1;1;4;1;111;0;1;0;0;0;;;0;0;64.56676378071813;75.28224255403994;26.780570168486143
134;2023-11-08;2165.12;2170.7;2134.8;2140.2;15833450.0;1;1;1;1;4;1;110;0;1;0;0;0;;;0;0;61.00792690397703;69.73574162518163;26.757476394549677
135;2023-11-07;2179.91;2191.06;2154.48;2168.12;16292337.0;1;1;1;1;4;1;109;0;1;0;0;0;;;0;0;66.66008128653776;99.69052167409711;26.65101801060098
136;2023-11-06;2185.27;2203.59;2174.56;2186.01;17809181.0;1;1;1;1;4;1;108;0;1;0;0;0;;;0;0;70.54899988549069;123.6014844936928;26.192745321017327
137;2023-11-03;2161.79;2187.38;2155.56;2177.29;20128393.0;1;1;1;1;4;1;107;0;1;0;0;0;;;0;0;69.75025858439908;115.9431482700188;25.33925201664478
138;2023-11-02;2163.79;2181.6;2141.35;2158.41;23645108.0;1;1;1;1;4;1;106;0;1;0;0;0;;;0;0;68.00572561836475;111.44784976015316;24.56696552032911
139;2023-10-31;2129.76;2169.08;2124.23;2149.73;24550308.0;1;1;1;1;4;1;105;0;1;0;0;0;;;0;0;67.19813912246096;107.83993312295972;23.79917105945256
140;2023-10-30;2108.61;2137.81;2108.61;2126.47;15917983.0;1;1;1;1;4;1;104;0;1;0;0;0;;;0;0;64.99981122178902;96.60545918164138;23.08803588250723
141;2023-10-27;2122.38;2131.8;2100.9;2103.73;16329613.0;1;1;1;1;4;1;103;0;1;0;0;0;;;0;0;62.73244897558882;96.31372452740926;22.595162711854993
142;2023-10-26;2080.37;2124.94;2060.12;2120.96;20711828.0;1;1;1;1;4;1;102;0;1;0;0;0;;;0;0;65.72824828253424;99.5718487690524;22.12737449805724
143;2023-10-25;2063.14;2105.22;2058.24;2096.22;24066190.0;1;1;1;1;4;1;101;0;1;0;0;0;;;0;0;63.39769724945267;99.5732675044328;21.691977431367352
144;2023-10-24;2028.21;2076.43;2028.21;2059.53;24388044.0;1;1;1;1;4;1;100;0;1;0;0;0;;;0;0;59.61592099750287;82.95782837839097;21.398955628614253
145;2023-10-23;2030.55;2040.92;2015.1;2021.14;16261051.0;1;1;1;1;6;1;99;0;1;0;0;0;;;0;0;55.109548221318015;65.02937583021783;21.346100126049446
146;2023-10-20;2040.64;2049.22;2019.23;2028.92;19866460.0;1;1;1;1;8;1;98;0;1;0;0;0;;;0;0;56.29160229473469;79.47497432239008;21.637052931859216
147;2023-10-19;2085.76;2085.76;2047.77;2051.4;25365378.0;1;1;1;1;2;1;97;0;1;0;0;0;;;0;0;59.728983041662886;122.25709795598118;21.88562074806423
148;2023-10-18;2111.24;2130.64;2091.92;2094.62;35973845.0;1;1;1;1;4;1;96;0;1;0;0;0;;;0;0;67.03705337306268;196.77527300930151;21.739568246289615
149;2023-10-17;2077.32;2150.76;2076.66;2118.37;38033945.0;1;1;1;1;6;1;95;0;1;0;0;0;;;0;0;71.50105359177135;253.43236104875191;20.878051476028126
150;2023-10-16;2009.97;2099.3;2009.97;2079.49;56000435.0;1;1;1;1;8;1;94;0;1;0;0;0;;;0;0;68.29134939451924;238.8922008051634;19.97119171785814
